35,alarm,WMF,3.1e-05
35,alarm,PE,4e-05
36,alarm,MN,0.001525
36,alarm,MW,2e-05
36,alarm,MF,1.8e-05
36,alarm,WMF,1.8e-05
36,alarm,PE,2.9e-05
37,alarm,MN,0.001124
37,alarm,MW,1.4e-05
37,alarm,MF,1.3e-05
37,alarm,WMF,1.4e-05
37,alarm,PE,3e-05
38,alarm,MN,0.00114
38,alarm,MW,1.4e-05
38,alarm,MF,1.3e-05
38,alarm,WMF,1.4e-05
38,alarm,PE,3.7e-05
39,alarm,MN,0.001583
39,alarm,MW,1.5e-05
39,alarm,MF,1.4e-05
39,alarm,WMF,1.4e-05
39,alarm,PE,3.6e-05
40,alarm,MN,0.0011
40,alarm,MW,1.3e-05
40,alarm,MF,2.5e-05
40,alarm,WMF,2.5e-05
40,alarm,PE,3e-05
41,alarm,MN,0.001167
41,alarm,MW,1.5e-05
41,alarm,MF,1.2e-05
41,alarm,WMF,1.4e-05
41,alarm,PE,2.9e-05
42,alarm,MN,0.001573
42,alarm,MW,1.5e-05
42,alarm,MF,1.6e-05
42,alarm,WMF,1.5e-05
42,alarm,PE,3.1e-05
43,alarm,MN,0.001268
43,alarm,MW,1.4e-05
43,alarm,MF,1.4e-05
43,alarm,WMF,1.3e-05
43,alarm,PE,4e-05
44,alarm,MN,0.001111
44,alarm,MW,1.4e-05
44,alarm,MF,1.4e-05
44,alarm,WMF,1.4e-05
44,alarm,PE,2.9e-05
45,alarm,MN,0.001574
45,alarm,MW,1.5e-05
45,alarm,MF,1.5e-05
45,alarm,WMF,1.5e-05
45,alarm,PE,3.2e-05
46,alarm,MN,0.001138
46,alarm,MW,1.4e-05
46,alarm,MF,1.4e-05
46,alarm,WMF,2.4e-05
46,alarm,PE,3e-05
47,alarm,MN,0.001515
47,alarm,MW,2.4e-05
47,alarm,MF,1.5e-05
47,alarm,WMF,1.5e-05
47,alarm,PE,3.8e-05
48,alarm,MN,0.001577
48,alarm,MW,1.4e-05
48,alarm,MF,1.5e-05
48,alarm,WMF,1.5e-05
48,alarm,PE,3.9e-05
49,alarm,MN,0.001491
49,alarm,MW,1.4e-05
49,alarm,MF,1.5e-05
49,alarm,WMF,1.5e-05
49,alarm,PE,2.9e-05
50,alarm,MN,0.001249
