run,bn,heuristic,time,,Column Labels,,,,,
22,hepar2,PE,5.30E-05,,,,,,,
23,hepar2,MN,0.002313,,,,,,,
23,hepar2,MW,2.50E-05,,,,,,,
23,hepar2,MF,3.30E-05,,,,,,,
23,hepar2,WMF,3.60E-05,,,,,,,
23,hepar2,PE,3.70E-05,,,,,,,
24,hepar2,MN,0.002324,,,,,,,
24,hepar2,MW,2.90E-05,,,,,,,
24,hepar2,MF,2.50E-05,,,,,,,
24,hepar2,WMF,2.20E-05,,,,,,,
24,hepar2,PE,3.70E-05,,,,,,,
25,hepar2,MN,0.002665,,,,,,,
25,hepar2,MW,2.10E-05,,,,,,,
25,hepar2,MF,2.00E-05,,,,,,,
25,hepar2,WMF,2.60E-05,,,,,,,
25,hepar2,PE,7.80E-05,,,,,,,
26,hepar2,MN,0.003152,,,,,,,
26,hepar2,MW,5.70E-05,,,,,,,
26,hepar2,MF,8.00E-05,,,,,,,
26,hepar2,WMF,7.30E-05,,,,,,,
26,hepar2,PE,3.60E-05,,,,,,,
27,hepar2,MN,0.003223,,,,,,,
27,hepar2,MW,2.60E-05,,,,,,,
27,hepar2,MF,2.40E-05,,,,,,,
27,hepar2,WMF,3.10E-05,,,,,,,
27,hepar2,PE,4.60E-05,,,,,,,
28,hepar2,MN,0.002284,,,,,,,
28,hepar2,MW,2.10E-05,,,,,,,
28,hepar2,MF,2.10E-05,,,,,,,
28,hepar2,WMF,2.00E-05,,,,,,,
28,hepar2,PE,3.70E-05,,,,,,,
29,hepar2,MN,0.002366,,,,,,,
29,hepar2,MW,3.60E-05,,,,,,,
29,hepar2,MF,4.70E-05,,,,,,,
29,hepar2,WMF,7.70E-05,,,,,,,
29,hepar2,PE,4.50E-05,,,,,,,
30,hepar2,MN,0.003055,,,,,,,
30,hepar2,MW,2.40E-05,,,,,,,
30,hepar2,MF,2.00E-05,,,,,,,
30,hepar2,WMF,3.10E-05,,,,,,,
30,hepar2,PE,3.70E-05,,,,,,,
31,hepar2,MN,0.0025,,,,,,,
31,hepar2,MW,3.20E-05,,,,,,,
31,hepar2,MF,3.00E-05,,,,,,,
31,hepar2,WMF,2.10E-05,,,,,,,
31,hepar2,PE,3.90E-05,,,,,,,
32,hepar2,MN,0.002372,,,,,,,
32,hepar2,MW,3.70E-05,,,,,,,
32,hepar2,MF,3.70E-05,,,,,,,
32,hepar2,WMF,3.60E-05,,,,,,,
32,hepar2,PE,3.70E-05,,,,,,,
33,hepar2,MN,0.002375,,,,,,,
33,hepar2,MW,4.80E-05,,,,,,,
33,hepar2,MF,5.90E-05,,,,,,,
33,hepar2,WMF,4.10E-05,,,,,,,
33,hepar2,PE,7.50E-05,,,,,,,
34,hepar2,MN,0.002493,,,,,,,
34,hepar2,MW,3.90E-05,,,,,,,
34,hepar2,MF,4.90E-05,,,,,,,
34,hepar2,WMF,7.80E-05,,,,,,,
34,hepar2,PE,4.40E-05,,,,,,,
35,hepar2,MN,0.002359,,,,,,,
35,hepar2,MW,3.90E-05,,,,,,,
