run,bn,heuristic,time
36,diabetes,WMF,0.000182
36,diabetes,PE,0.000172
37,diabetes,MN,0.872651
37,diabetes,MW,0.000164
37,diabetes,MF,0.000141
37,diabetes,WMF,0.000192
37,diabetes,PE,0.000141
38,diabetes,MN,0.823178
38,diabetes,MW,0.000164
38,diabetes,MF,0.000146
38,diabetes,WMF,0.000174
38,diabetes,PE,0.000179
39,diabetes,MN,2.22343
39,diabetes,MW,0.000184
39,diabetes,MF,0.000171
39,diabetes,WMF,0.00014
39,diabetes,PE,0.000144
40,diabetes,MN,2.47838
40,diabetes,MW,0.000201
40,diabetes,MF,0.000154
40,diabetes,WMF,0.000168
40,diabetes,PE,0.000143
41,diabetes,MN,1.4038
41,diabetes,MW,0.000181
41,diabetes,MF,0.000168
41,diabetes,WMF,0.000165
41,diabetes,PE,0.000181
42,diabetes,MN,0.569991
42,diabetes,MW,0.000176
42,diabetes,MF,0.000193
42,diabetes,WMF,0.000161
42,diabetes,PE,0.000192
43,diabetes,MN,0.48866
43,diabetes,MW,0.000176
43,diabetes,MF,0.000188
43,diabetes,WMF,0.000166
43,diabetes,PE,0.000178
44,diabetes,MN,3.37368
44,diabetes,MW,0.000176
44,diabetes,MF,0.000183
44,diabetes,WMF,0.000173
44,diabetes,PE,0.000138
45,diabetes,MN,1.03073
45,diabetes,MW,0.000146
45,diabetes,MF,0.000194
45,diabetes,WMF,0.00019
45,diabetes,PE,0.000194
46,diabetes,MN,0.565168
46,diabetes,MW,0.000164
46,diabetes,MF,0.000176
46,diabetes,WMF,0.000164
46,diabetes,PE,0.000196
47,diabetes,MN,0.757012
47,diabetes,MW,0.000146
47,diabetes,MF,0.000177
47,diabetes,WMF,0.00017
47,diabetes,PE,0.000169
48,diabetes,MN,2.69917
48,diabetes,MW,0.000167
48,diabetes,MF,0.000168
48,diabetes,WMF,0.000164
48,diabetes,PE,0.000205
49,diabetes,MN,0.925788
49,diabetes,MW,0.00017
49,diabetes,MF,0.000182
49,diabetes,WMF,0.000164
49,diabetes,PE,0.000213
50,diabetes,MN,2.70464
50,diabetes,MW,0.00017
50,diabetes,MF,0.000144
50,diabetes,WMF,0.000213
50,diabetes,PE,0.00021
51,diabetes,MN,0.719903
51,diabetes,MW,0.00016
51,diabetes,MF,0.000176
51,diabetes,WMF,0.000159
51,diabetes,PE,0.000176
52,diabetes,MN,0.859968
52,diabetes,MW,0.000184
52,diabetes,MF,0.00015
52,diabetes,WMF,0.000184
52,diabetes,PE,0.00016
53,diabetes,MN,0.977774
53,diabetes,MW,0.000165
53,diabetes,MF,0.000187
53,diabetes,WMF,0.000132
53,diabetes,PE,0.000196
54,diabetes,MN,1.12285
54,diabetes,MW,0.000177
54,diabetes,MF,0.000184
54,diabetes,WMF,0.00014
54,diabetes,PE,0.000202
55,diabetes,MN,0.899858
55,diabetes,MW,0.000146
