run,bn,heuristic,time
38,barley,MN,0.152081
38,barley,MW,2.9e-05
38,barley,MF,1.6e-05
38,barley,WMF,2.4e-05
38,barley,PE,1.7e-05
39,barley,MN,0.138163
39,barley,MW,3e-05
39,barley,MF,2.3e-05
39,barley,WMF,1.8e-05
39,barley,PE,1.8e-05
40,barley,MN,0.140545
40,barley,MW,2.1e-05
40,barley,MF,1.7e-05
40,barley,WMF,1.6e-05
40,barley,PE,1.7e-05
41,barley,MN,0.142626
41,barley,MW,2.9e-05
41,barley,MF,1.6e-05
41,barley,WMF,1.5e-05
41,barley,PE,1.6e-05
42,barley,MN,0.119719
42,barley,MW,2e-05
42,barley,MF,1.6e-05
42,barley,WMF,2.6e-05
42,barley,PE,2.3e-05
43,barley,MN,0.153699
43,barley,MW,2e-05
43,barley,MF,1.6e-05
43,barley,WMF,1.7e-05
43,barley,PE,1.6e-05
44,barley,MN,0.292219
44,barley,MW,2.2e-05
44,barley,MF,1.7e-05
44,barley,WMF,1.7e-05
44,barley,PE,1.6e-05
45,barley,MN,0.276387
45,barley,MW,2.2e-05
45,barley,MF,2e-05
45,barley,WMF,2e-05
45,barley,PE,1.7e-05
46,barley,MN,0.304618
46,barley,MW,3.1e-05
46,barley,MF,1.7e-05
46,barley,WMF,1.7e-05
46,barley,PE,1.7e-05
47,barley,MN,0.314902
47,barley,MW,2.1e-05
47,barley,MF,1.6e-05
47,barley,WMF,1.7e-05
47,barley,PE,1.8e-05
48,barley,MN,0.279774
48,barley,MW,2.1e-05
48,barley,MF,2.8e-05
48,barley,WMF,2.4e-05
48,barley,PE,1.8e-05
49,barley,MN,0.296334
49,barley,MW,2.2e-05
49,barley,MF,1.6e-05
49,barley,WMF,1.6e-05
49,barley,PE,1.7e-05
50,barley,MN,0.289375
50,barley,MW,2e-05
50,barley,MF,1.6e-05
50,barley,WMF,1.7e-05
50,barley,PE,1.5e-05
51,barley,MN,0.266555
51,barley,MW,2e-05
51,barley,MF,1.7e-05
51,barley,WMF,1.6e-05
51,barley,PE,1.6e-05
52,barley,MN,0.220101
52,barley,MW,2.1e-05
52,barley,MF,1.9e-05
52,barley,WMF,1.9e-05
52,barley,PE,1.9e-05
53,barley,MN,0.254726
53,barley,MW,2e-05
53,barley,MF,1.7e-05
53,barley,WMF,1.7e-05
53,barley,PE,1.7e-05
54,barley,MN,0.273057
54,barley,MW,2.1e-05
54,barley,MF,1.5e-05
54,barley,WMF,1.7e-05
54,barley,PE,1.6e-05
55,barley,MN,0.268675
55,barley,MW,2e-05
55,barley,MF,1.7e-05
55,barley,WMF,2.7e-05
55,barley,PE,1.9e-05
56,barley,MN,0.272655
56,barley,MW,2.4e-05
56,barley,MF,1.8e-05
56,barley,WMF,1.9e-05
56,barley,PE,1.6e-05
57,barley,MN,0.218766
57,barley,MW,2.9e-05
57,barley,MF,1.7e-05
57,barley,WMF,2.4e-05
57,barley,PE,1.7e-05
58,barley,MN,0.290954
58,barley,MW,2.2e-05
58,barley,MF,1.6e-05
58,barley,WMF,1.6e-05
58,barley,PE,1.5e-05
59,barley,MN,0.273019
59,barley,MW,2.1e-05
59,barley,MF,1.6e-05
59,barley,WMF,1.5e-05
59,barley,PE,1.5e-05
60,barley,MN,0.318669
60,barley,MW,2e-05
60,barley,MF,1.6e-05
60,barley,WMF,1.5e-05
60,barley,PE,1.5e-05
61,barley,MN,0.364915
61,barley,MW,3e-05
61,barley,MF,1.7e-05
61,barley,WMF,1.6e-05
61,barley,PE,1.6e-05
62,barley,MN,0.292411
62,barley,MW,2.1e-05
62,barley,MF,1.7e-05
62,barley,WMF,1.6e-05
62,barley,PE,1.7e-05
63,barley,MN,0.286696
63,barley,MW,2.2e-05
63,barley,MF,1.6e-05
63,barley,WMF,1.6e-05
63,barley,PE,1.6e-05
64,barley,MN,0.314295
64,barley,MW,2.3e-05
64,barley,MF,1.7e-05
64,barley,WMF,1.7e-05
64,barley,PE,1.8e-05
65,barley,MN,0.326621
65,barley,MW,3.4e-05
65,barley,MF,2.2e-05
65,barley,WMF,1.8e-05
65,barley,PE,2.3e-05
66,barley,MN,0.332182
66,barley,MW,2e-05
66,barley,MF,1.6e-05
66,barley,WMF,2.5e-05
66,barley,PE,1.6e-05
67,barley,MN,3.25019
67,barley,MW,2e-05
67,barley,MF,1.6e-05
67,barley,WMF,1.7e-05
67,barley,PE,1.5e-05
68,barley,MN,0.294434
68,barley,MW,2.6e-05
68,barley,MF,1.8e-05
68,barley,WMF,1.8e-05
68,barley,PE,1.6e-05
69,barley,MN,0.267433
69,barley,MW,2.1e-05
69,barley,MF,1.7e-05
69,barley,WMF,1.7e-05
69,barley,PE,1.7e-05
70,barley,MN,0.302715
70,barley,MW,2e-05
70,barley,MF,1.7e-05
70,barley,WMF,1.7e-05
70,barley,PE,2.8e-05
71,barley,MN,1.38743
71,barley,MW,2.3e-05
71,barley,MF,1.8e-05
71,barley,WMF,1.7e-05
71,barley,PE,1.6e-05
72,barley,MN,1.53011
72,barley,MW,2.2e-05
72,barley,MF,1.8e-05
72,barley,WMF,1.7e-05
72,barley,PE,1.6e-05
73,barley,MN,1.67059
73,barley,MW,2.4e-05
73,barley,MF,1.9e-05
73,barley,WMF,1.9e-05
73,barley,PE,1.9e-05
74,barley,MN,0.131606
74,barley,MW,2.2e-05
74,barley,MF,1.8e-05
74,barley,WMF,1.7e-05
74,barley,PE,1.9e-05
75,barley,MN,2.11903
75,barley,MW,2.2e-05
75,barley,MF,1.7e-05
75,barley,WMF,2.6e-05
75,barley,PE,1.6e-05
76,barley,MN,0.324223
76,barley,MW,2.1e-05
76,barley,MF,1.7e-05
76,barley,WMF,2.6e-05
76,barley,PE,1.9e-05
77,barley,MN,0.24874
77,barley,MW,2.5e-05
77,barley,MF,1.7e-05
77,barley,WMF,1.9e-05
77,barley,PE,1.6e-05
78,barley,MN,0.259423
78,barley,MW,2e-05
78,barley,MF,1.7e-05
78,barley,WMF,1.8e-05
78,barley,PE,1.7e-05
79,barley,MN,0.308109
79,barley,MW,2.2e-05
79,barley,MF,1.6e-05
79,barley,WMF,1.6e-05
79,barley,PE,1.6e-05
80,barley,MN,0.275784
80,barley,MW,2.2e-05
80,barley,MF,1.7e-05
80,barley,WMF,1.7e-05
80,barley,PE,1.6e-05
81,barley,MN,0.30081
81,barley,MW,2e-05
81,barley,MF,1.6e-05
81,barley,WMF,1.6e-05
81,barley,PE,1.5e-05
82,barley,MN,0.326215
82,barley,MW,2.3e-05
82,barley,MF,1.8e-05
82,barley,WMF,2.1e-05
82,barley,PE,1.9e-05
83,barley,MN,0.259463
83,barley,MW,2.1e-05
83,barley,MF,1.8e-05
83,barley,WMF,2.5e-05
83,barley,PE,1.7e-05
84,barley,MN,0.277948
84,barley,MW,2.2e-05
84,barley,MF,1.5e-05
84,barley,WMF,1.7e-05
84,barley,PE,1.7e-05
85,barley,MN,0.267441
85,barley,MW,2e-05
85,barley,MF,1.5e-05
85,barley,WMF,1.5e-05
85,barley,PE,1.5e-05
86,barley,MN,0.286841
86,barley,MW,2.3e-05
86,barley,MF,1.9e-05
86,barley,WMF,2.1e-05
86,barley,PE,1.8e-05
87,barley,MN,0.260186
87,barley,MW,2.2e-05
87,barley,MF,1.9e-05
87,barley,WMF,1.7e-05
87,barley,PE,1.7e-05
88,barley,MN,0.281243
88,barley,MW,2.2e-05
88,barley,MF,2.5e-05
88,barley,WMF,1.6e-05
88,barley,PE,1.6e-05
89,barley,MN,0.238372
89,barley,MW,2.3e-05
89,barley,MF,1.9e-05
89,barley,WMF,1.6e-05
89,barley,PE,1.7e-05
90,barley,MN,0.175393
90,barley,MW,2.1e-05
90,barley,MF,1.5e-05
90,barley,WMF,1.6e-05
90,barley,PE,1.7e-05
91,barley,MN,0.172206
91,barley,MW,2.2e-05
91,barley,MF,1.6e-05
91,barley,WMF,2.4e-05
91,barley,PE,1.6e-05
92,barley,MN,0.173681
92,barley,MW,3.2e-05
92,barley,MF,1.7e-05
92,barley,WMF,1.6e-05
92,barley,PE,1.9e-05
93,barley,MN,0.162535
