run,bn,heuristic,time
33,hepar2,WMF,3.9e-05
33,hepar2,PE,3.4e-05
34,hepar2,MN,0.002399
34,hepar2,MW,3.8e-05
34,hepar2,MF,3.2e-05
34,hepar2,WMF,4.2e-05
34,hepar2,PE,3.8e-05
35,hepar2,MN,0.002362
35,hepar2,MW,3.4e-05
35,hepar2,MF,3.2e-05
35,hepar2,WMF,3.7e-05
35,hepar2,PE,3.5e-05
36,hepar2,MN,0.003331
36,hepar2,MW,3.8e-05
36,hepar2,MF,3.8e-05
36,hepar2,WMF,3.6e-05
36,hepar2,PE,3.5e-05
37,hepar2,MN,0.00238
37,hepar2,MW,4e-05
37,hepar2,MF,3.3e-05
37,hepar2,WMF,5.4e-05
37,hepar2,PE,3.9e-05
38,hepar2,MN,0.002351
38,hepar2,MW,3.1e-05
38,hepar2,MF,3.1e-05
38,hepar2,WMF,3.8e-05
38,hepar2,PE,3.7e-05
39,hepar2,MN,0.003041
39,hepar2,MW,7.2e-05
39,hepar2,MF,3.1e-05
39,hepar2,WMF,6.1e-05
39,hepar2,PE,3.3e-05
40,hepar2,MN,0.002588
40,hepar2,MW,3.8e-05
40,hepar2,MF,5.3e-05
40,hepar2,WMF,3.9e-05
40,hepar2,PE,5.6e-05
41,hepar2,MN,0.002651
41,hepar2,MW,3.7e-05
41,hepar2,MF,2.7e-05
41,hepar2,WMF,4.2e-05
41,hepar2,PE,3.8e-05
42,hepar2,MN,0.002526
42,hepar2,MW,5.7e-05
42,hepar2,MF,2.9e-05
42,hepar2,WMF,3.4e-05
42,hepar2,PE,3.8e-05
43,hepar2,MN,0.00242
43,hepar2,MW,4.7e-05
43,hepar2,MF,2.8e-05
43,hepar2,WMF,7.3e-05
43,hepar2,PE,4e-05
44,hepar2,MN,0.002381
44,hepar2,MW,2.9e-05
44,hepar2,MF,2.6e-05
44,hepar2,WMF,3.5e-05
44,hepar2,PE,2.4e-05
45,hepar2,MN,0.002904
45,hepar2,MW,3.3e-05
45,hepar2,MF,2.9e-05
45,hepar2,WMF,2.1e-05
45,hepar2,PE,3.1e-05
46,hepar2,MN,0.003258
46,hepar2,MW,3.6e-05
46,hepar2,MF,5.7e-05
46,hepar2,WMF,3.9e-05
46,hepar2,PE,2.1e-05
47,hepar2,MN,0.002373
47,hepar2,MW,2.9e-05
47,hepar2,MF,2.9e-05
47,hepar2,WMF,2.2e-05
47,hepar2,PE,2.4e-05
48,hepar2,MN,0.002602
48,hepar2,MW,3.7e-05
48,hepar2,MF,2e-05
48,hepar2,WMF,2.8e-05
48,hepar2,PE,1.9e-05
49,hepar2,MN,0.002375
49,hepar2,MW,3.4e-05
49,hepar2,MF,2e-05
49,hepar2,WMF,3.8e-05
49,hepar2,PE,5.4e-05
50,hepar2,MN,0.002647
50,hepar2,MW,2.1e-05
50,hepar2,MF,3e-05
50,hepar2,WMF,3e-05
50,hepar2,PE,2.9e-05
51,hepar2,MN,0.004155
51,hepar2,MW,3.3e-05
51,hepar2,MF,3.7e-05
51,hepar2,WMF,2.9e-05
51,hepar2,PE,2.1e-05
52,hepar2,MN,0.002373
52,hepar2,MW,4.2e-05
52,hepar2,MF,7.6e-05
52,hepar2,WMF,4.7e-05
52,hepar2,PE,2.1e-05
53,hepar2,MN,0.002314
53,hepar2,MW,3.1e-05
53,hepar2,MF,2.9e-05
53,hepar2,WMF,3.2e-05
53,hepar2,PE,2e-05
54,hepar2,MN,0.002984
54,hepar2,MW,3.5e-05
54,hepar2,MF,2.9e-05
54,hepar2,WMF,2e-05
54,hepar2,PE,2e-05
55,hepar2,MN,0.002304
55,hepar2,MW,3.6e-05
55,hepar2,MF,2.8e-05
55,hepar2,WMF,5e-05
55,hepar2,PE,3.8e-05
56,hepar2,MN,0.002387
56,hepar2,MW,2.3e-05
56,hepar2,MF,2.3e-05
56,hepar2,WMF,2.1e-05
56,hepar2,PE,2.9e-05
57,hepar2,MN,0.002881
57,hepar2,MW,3.1e-05
57,hepar2,MF,2.2e-05
57,hepar2,WMF,2.3e-05
57,hepar2,PE,2.1e-05
58,hepar2,MN,0.002366
58,hepar2,MW,3e-05
58,hepar2,MF,2e-05
58,hepar2,WMF,4e-05
58,hepar2,PE,3.5e-05
59,hepar2,MN,0.002497
59,hepar2,MW,3e-05
59,hepar2,MF,1.9e-05
59,hepar2,WMF,2e-05
59,hepar2,PE,3e-05
60,hepar2,MN,0.004309
60,hepar2,MW,2.7e-05
60,hepar2,MF,2.2e-05
60,hepar2,WMF,2.6e-05
60,hepar2,PE,2.8e-05
61,hepar2,MN,0.002339
61,hepar2,MW,5.8e-05
61,hepar2,MF,4.4e-05
61,hepar2,WMF,3e-05
61,hepar2,PE,2.1e-05
62,hepar2,MN,0.002346
62,hepar2,MW,2.9e-05
62,hepar2,MF,2.9e-05
62,hepar2,WMF,2e-05
62,hepar2,PE,6.1e-05
63,hepar2,MN,0.002336
63,hepar2,MW,3e-05
63,hepar2,MF,3e-05
63,hepar2,WMF,2.9e-05
63,hepar2,PE,2.1e-05
64,hepar2,MN,0.00226
64,hepar2,MW,2.2e-05
64,hepar2,MF,7.7e-05
64,hepar2,WMF,4.3e-05
64,hepar2,PE,2.1e-05
65,hepar2,MN,0.002364
65,hepar2,MW,2.1e-05
65,hepar2,MF,2.8e-05
65,hepar2,WMF,3e-05
65,hepar2,PE,2e-05
66,hepar2,MN,0.003699
66,hepar2,MW,3.4e-05
66,hepar2,MF,2.9e-05
66,hepar2,WMF,2.8e-05
66,hepar2,PE,2.2e-05
67,hepar2,MN,0.002368
67,hepar2,MW,3.3e-05
67,hepar2,MF,9.6e-05
67,hepar2,WMF,4.6e-05
67,hepar2,PE,4e-05
68,hepar2,MN,0.002318
68,hepar2,MW,3e-05
68,hepar2,MF,1.9e-05
68,hepar2,WMF,4e-05
68,hepar2,PE,3.5e-05
69,hepar2,MN,0.002878
69,hepar2,MW,2.8e-05
69,hepar2,MF,2.8e-05
69,hepar2,WMF,2.8e-05
69,hepar2,PE,1.9e-05
70,hepar2,MN,0.002287
70,hepar2,MW,3e-05
70,hepar2,MF,1.9e-05
70,hepar2,WMF,6.2e-05
70,hepar2,PE,2.3e-05
71,hepar2,MN,0.002347
71,hepar2,MW,3e-05
71,hepar2,MF,2e-05
71,hepar2,WMF,2.9e-05
71,hepar2,PE,2.9e-05
72,hepar2,MN,0.004063
72,hepar2,MW,3.4e-05
72,hepar2,MF,3e-05
72,hepar2,WMF,2.1e-05
72,hepar2,PE,2.1e-05
73,hepar2,MN,0.002367
73,hepar2,MW,2.6e-05
73,hepar2,MF,5.2e-05
73,hepar2,WMF,4.8e-05
73,hepar2,PE,2.1e-05
74,hepar2,MN,0.002337
74,hepar2,MW,3e-05
74,hepar2,MF,3.2e-05
74,hepar2,WMF,3e-05
74,hepar2,PE,2e-05
75,hepar2,MN,0.003964
75,hepar2,MW,2.9e-05
75,hepar2,MF,2.9e-05
75,hepar2,WMF,2.9e-05
75,hepar2,PE,2e-05
76,hepar2,MN,0.003459
76,hepar2,MW,2.8e-05
76,hepar2,MF,2.2e-05
76,hepar2,WMF,2.9e-05
76,hepar2,PE,2.1e-05
77,hepar2,MN,0.002318
77,hepar2,MW,2.3e-05
77,hepar2,MF,8.5e-05
77,hepar2,WMF,3.8e-05
77,hepar2,PE,2e-05
78,hepar2,MN,0.002321
78,hepar2,MW,3e-05
78,hepar2,MF,2e-05
78,hepar2,WMF,3.9e-05
78,hepar2,PE,2.1e-05
79,hepar2,MN,0.003191
79,hepar2,MW,2.7e-05
79,hepar2,MF,3.3e-05
79,hepar2,WMF,2.3e-05
79,hepar2,PE,2.5e-05
80,hepar2,MN,0.003408
80,hepar2,MW,3e-05
80,hepar2,MF,2e-05
80,hepar2,WMF,2.9e-05
80,hepar2,PE,2e-05
81,hepar2,MN,0.002355
81,hepar2,MW,2.5e-05
81,hepar2,MF,7.9e-05
81,hepar2,WMF,4.3e-05
81,hepar2,PE,2.2e-05
82,hepar2,MN,0.002367
82,hepar2,MW,3.1e-05
82,hepar2,MF,2.9e-05
82,hepar2,WMF,4e-05
82,hepar2,PE,2e-05
83,hepar2,MN,0.002777
