run,bn,heuristic,time
35,mildew,MF,1.3e-05
35,mildew,WMF,3.2e-05
35,mildew,PE,5.8e-05
36,mildew,MN,0.023602
36,mildew,MW,2.9e-05
36,mildew,MF,2.8e-05
36,mildew,WMF,1.3e-05
36,mildew,PE,1.3e-05
37,mildew,MN,0.021683
37,mildew,MW,1.7e-05
37,mildew,MF,1.5e-05
37,mildew,WMF,1.5e-05
37,mildew,PE,1.3e-05
38,mildew,MN,0.020409
38,mildew,MW,2.7e-05
38,mildew,MF,2e-05
38,mildew,WMF,1.9e-05
38,mildew,PE,2e-05
39,mildew,MN,0.026056
39,mildew,MW,1.8e-05
39,mildew,MF,1.2e-05
39,mildew,WMF,1.3e-05
39,mildew,PE,1.4e-05
40,mildew,MN,0.02322
40,mildew,MW,3e-05
40,mildew,MF,1.4e-05
40,mildew,WMF,1.2e-05
40,mildew,PE,1.4e-05
41,mildew,MN,0.021712
41,mildew,MW,2.7e-05
41,mildew,MF,2.1e-05
41,mildew,WMF,1.4e-05
41,mildew,PE,1.3e-05
42,mildew,MN,0.021249
42,mildew,MW,1.6e-05
42,mildew,MF,1.4e-05
42,mildew,WMF,2.4e-05
42,mildew,PE,1.4e-05
43,mildew,MN,0.023882
43,mildew,MW,1.9e-05
43,mildew,MF,2.1e-05
43,mildew,WMF,2.2e-05
43,mildew,PE,1.9e-05
44,mildew,MN,0.021449
44,mildew,MW,2.5e-05
44,mildew,MF,1.4e-05
44,mildew,WMF,1.3e-05
44,mildew,PE,1.2e-05
45,mildew,MN,0.021921
45,mildew,MW,2.7e-05
45,mildew,MF,2.3e-05
45,mildew,WMF,1.4e-05
45,mildew,PE,1.4e-05
46,mildew,MN,0.021884
46,mildew,MW,2.7e-05
46,mildew,MF,1.3e-05
46,mildew,WMF,1.4e-05
46,mildew,PE,1.3e-05
47,mildew,MN,0.023552
47,mildew,MW,1.8e-05
47,mildew,MF,2.2e-05
47,mildew,WMF,1.4e-05
47,mildew,PE,1.3e-05
48,mildew,MN,0.022032
48,mildew,MW,2.6e-05
48,mildew,MF,1.3e-05
48,mildew,WMF,1.4e-05
48,mildew,PE,1.2e-05
49,mildew,MN,0.022472
49,mildew,MW,1.7e-05
49,mildew,MF,1.3e-05
49,mildew,WMF,2.9e-05
49,mildew,PE,1.3e-05
50,mildew,MN,0.022423
50,mildew,MW,2.8e-05
50,mildew,MF,1.6e-05
50,mildew,WMF,1.3e-05
50,mildew,PE,1.4e-05
51,mildew,MN,0.023314
51,mildew,MW,1.9e-05
51,mildew,MF,1.6e-05
51,mildew,WMF,1.5e-05
51,mildew,PE,1.5e-05
52,mildew,MN,0.022819
52,mildew,MW,1.8e-05
52,mildew,MF,1.3e-05
52,mildew,WMF,1.4e-05
52,mildew,PE,2.3e-05
53,mildew,MN,0.025431
53,mildew,MW,1.8e-05
53,mildew,MF,1.3e-05
53,mildew,WMF,1.4e-05
53,mildew,PE,1.3e-05
54,mildew,MN,0.021366
54,mildew,MW,2.7e-05
54,mildew,MF,1.4e-05
54,mildew,WMF,1.4e-05
54,mildew,PE,1.4e-05
55,mildew,MN,0.022958
55,mildew,MW,1.8e-05
55,mildew,MF,2.4e-05
55,mildew,WMF,1.3e-05
55,mildew,PE,1.3e-05
56,mildew,MN,0.022927
56,mildew,MW,2e-05
56,mildew,MF,2.3e-05
56,mildew,WMF,2e-05
56,mildew,PE,1.9e-05
57,mildew,MN,0.025611
