run,bn,heuristic,time
35,alarm,MW,1.4e-05
35,alarm,MF,1.5e-05
35,alarm,WMF,1.5e-05
35,alarm,PE,1.9e-05
36,alarm,MN,0.002404
36,alarm,MW,1.7e-05
36,alarm,MF,3.5e-05
36,alarm,WMF,3e-05
36,alarm,PE,1.9e-05
37,alarm,MN,0.00126
37,alarm,MW,2e-05
37,alarm,MF,1.8e-05
37,alarm,WMF,1.5e-05
37,alarm,PE,3.2e-05
38,alarm,MN,0.001183
38,alarm,MW,3.6e-05
38,alarm,MF,1.6e-05
38,alarm,WMF,2.7e-05
38,alarm,PE,1.6e-05
39,alarm,MN,0.001177
39,alarm,MW,1.6e-05
39,alarm,MF,1.5e-05
39,alarm,WMF,1.5e-05
39,alarm,PE,2.1e-05
40,alarm,MN,0.00125
40,alarm,MW,1.5e-05
40,alarm,MF,1.6e-05
40,alarm,WMF,2.2e-05
40,alarm,PE,3e-05
41,alarm,MN,0.001262
41,alarm,MW,1.7e-05
41,alarm,MF,1.4e-05
41,alarm,WMF,1.7e-05
41,alarm,PE,1.8e-05
42,alarm,MN,0.001255
42,alarm,MW,1.9e-05
42,alarm,MF,1.6e-05
42,alarm,WMF,1.6e-05
42,alarm,PE,2.3e-05
43,alarm,MN,0.001172
43,alarm,MW,1.7e-05
43,alarm,MF,2.4e-05
43,alarm,WMF,1.5e-05
43,alarm,PE,2.9e-05
44,alarm,MN,0.001255
44,alarm,MW,2.1e-05
44,alarm,MF,2.6e-05
44,alarm,WMF,2.4e-05
44,alarm,PE,1.4e-05
45,alarm,MN,0.001406
45,alarm,MW,2.1e-05
45,alarm,MF,4.9e-05
45,alarm,WMF,3.5e-05
45,alarm,PE,1.6e-05
46,alarm,MN,0.001235
46,alarm,MW,1.7e-05
46,alarm,MF,1.7e-05
46,alarm,WMF,2.1e-05
46,alarm,PE,1.6e-05
47,alarm,MN,0.001225
47,alarm,MW,1.5e-05
47,alarm,MF,1.5e-05
47,alarm,WMF,2.6e-05
47,alarm,PE,1.5e-05
48,alarm,MN,0.001229
48,alarm,MW,1.5e-05
48,alarm,MF,1.4e-05
48,alarm,WMF,2.7e-05
48,alarm,PE,3.1e-05
49,alarm,MN,0.001242
49,alarm,MW,1.4e-05
49,alarm,MF,1.5e-05
49,alarm,WMF,2.1e-05
49,alarm,PE,1.6e-05
50,alarm,MN,0.001229
50,alarm,MW,1.5e-05
50,alarm,MF,1.6e-05
50,alarm,WMF,1.6e-05
50,alarm,PE,1.7e-05
51,alarm,MN,0.001277
51,alarm,MW,1.7e-05
51,alarm,MF,1.6e-05
51,alarm,WMF,1.7e-05
51,alarm,PE,2.5e-05
52,alarm,MN,0.001239
52,alarm,MW,2.7e-05
52,alarm,MF,1.4e-05
52,alarm,WMF,1.6e-05
52,alarm,PE,3.1e-05
53,alarm,MN,0.001374
53,alarm,MW,1.6e-05
53,alarm,MF,1.4e-05
53,alarm,WMF,4.5e-05
53,alarm,PE,2.5e-05
54,alarm,MN,0.001447
54,alarm,MW,2.2e-05
54,alarm,MF,3.1e-05
54,alarm,WMF,1.7e-05
54,alarm,PE,1.6e-05
55,alarm,MN,0.001225
55,alarm,MW,1.6e-05
55,alarm,MF,2.1e-05
55,alarm,WMF,1.7e-05
55,alarm,PE,2.8e-05
56,alarm,MN,0.00121
56,alarm,MW,1.5e-05
56,alarm,MF,1.6e-05
56,alarm,WMF,1.4e-05
56,alarm,PE,1.6e-05
57,alarm,MN,0.001233
57,alarm,MW,1.6e-05
57,alarm,MF,2.4e-05
57,alarm,WMF,1.6e-05
57,alarm,PE,2.5e-05
58,alarm,MN,0.001347
58,alarm,MW,2.6e-05
58,alarm,MF,1.7e-05
58,alarm,WMF,2e-05
58,alarm,PE,4.6e-05
59,alarm,MN,0.002015
59,alarm,MW,2.4e-05
59,alarm,MF,2.2e-05
59,alarm,WMF,2.9e-05
59,alarm,PE,1.6e-05
60,alarm,MN,0.001227
60,alarm,MW,3.6e-05
60,alarm,MF,1.9e-05
60,alarm,WMF,3e-05
60,alarm,PE,1.6e-05
61,alarm,MN,0.001473
61,alarm,MW,1.6e-05
61,alarm,MF,1.4e-05
61,alarm,WMF,3.6e-05
61,alarm,PE,5.2e-05
62,alarm,MN,0.001293
62,alarm,MW,1.8e-05
62,alarm,MF,2.6e-05
62,alarm,WMF,1.7e-05
62,alarm,PE,2.4e-05
63,alarm,MN,0.001213
63,alarm,MW,1.7e-05
63,alarm,MF,1.5e-05
63,alarm,WMF,1.6e-05
63,alarm,PE,1.9e-05
64,alarm,MN,0.00122
64,alarm,MW,1.7e-05
64,alarm,MF,2.4e-05
64,alarm,WMF,1.6e-05
64,alarm,PE,2.4e-05
65,alarm,MN,0.001198
65,alarm,MW,1.5e-05
65,alarm,MF,2.1e-05
65,alarm,WMF,1.4e-05
65,alarm,PE,2.9e-05
66,alarm,MN,0.001167
66,alarm,MW,1.7e-05
66,alarm,MF,1.7e-05
66,alarm,WMF,1.5e-05
66,alarm,PE,1.5e-05
67,alarm,MN,0.00121
67,alarm,MW,1.7e-05
67,alarm,MF,3.2e-05
67,alarm,WMF,1.6e-05
67,alarm,PE,1.9e-05
68,alarm,MN,0.001292
68,alarm,MW,1.5e-05
68,alarm,MF,2e-05
68,alarm,WMF,1.6e-05
68,alarm,PE,2.2e-05
69,alarm,MN,0.001211
69,alarm,MW,1.7e-05
69,alarm,MF,1.5e-05
69,alarm,WMF,1.5e-05
69,alarm,PE,1.6e-05
70,alarm,MN,0.001401
70,alarm,MW,1.6e-05
70,alarm,MF,2.2e-05
70,alarm,WMF,3.2e-05
70,alarm,PE,2e-05
71,alarm,MN,0.001325
71,alarm,MW,1.9e-05
71,alarm,MF,1.8e-05
71,alarm,WMF,1.6e-05
71,alarm,PE,1.7e-05
72,alarm,MN,0.001221
72,alarm,MW,1.8e-05
72,alarm,MF,1.5e-05
72,alarm,WMF,1.7e-05
72,alarm,PE,3.5e-05
73,alarm,MN,0.001229
73,alarm,MW,1.6e-05
73,alarm,MF,1.8e-05
73,alarm,WMF,1.6e-05
73,alarm,PE,2.5e-05
74,alarm,MN,0.001176
74,alarm,MW,1.6e-05
74,alarm,MF,2.2e-05
74,alarm,WMF,1.5e-05
74,alarm,PE,2.2e-05
75,alarm,MN,0.001224
75,alarm,MW,1.5e-05
75,alarm,MF,1.7e-05
75,alarm,WMF,1.5e-05
75,alarm,PE,1.6e-05
76,alarm,MN,0.00121
76,alarm,MW,1.6e-05
