run,bn,heuristic,time
42,munin,MW,0.000341
42,munin,MF,0.000328
42,munin,WMF,0.000297
42,munin,PE,0.000315
43,munin,MN,0.373341
43,munin,MW,0.000436
43,munin,MF,0.000315
43,munin,WMF,0.000409
43,munin,PE,0.000318
44,munin,MN,0.281059
44,munin,MW,0.000318
44,munin,MF,0.000374
44,munin,WMF,0.000305
44,munin,PE,0.000322
45,munin,MN,0.364872
45,munin,MW,0.000328
45,munin,MF,0.000416
45,munin,WMF,0.000309
45,munin,PE,0.000312
46,munin,MN,0.279105
46,munin,MW,0.000321
46,munin,MF,0.000307
46,munin,WMF,0.000341
46,munin,PE,0.000424
47,munin,MN,0.504997
47,munin,MW,0.000368
47,munin,MF,0.000318
47,munin,WMF,0.00033
47,munin,PE,0.000405
48,munin,MN,0.396305
48,munin,MW,0.000426
48,munin,MF,0.000351
48,munin,WMF,0.000412
48,munin,PE,0.000319
49,munin,MN,0.44647
49,munin,MW,0.000334
49,munin,MF,0.000368
49,munin,WMF,0.000292
49,munin,PE,0.00039
50,munin,MN,0.240756
50,munin,MW,0.000313
50,munin,MF,0.000384
50,munin,WMF,0.000357
50,munin,PE,0.000392
51,munin,MN,0.362498
51,munin,MW,0.000424
51,munin,MF,0.000323
51,munin,WMF,0.000387
51,munin,PE,0.000389
52,munin,MN,0.390943
52,munin,MW,0.000353
52,munin,MF,0.000415
52,munin,WMF,0.000376
52,munin,PE,0.000359
53,munin,MN,0.442487
53,munin,MW,0.000317
53,munin,MF,0.000427
53,munin,WMF,0.000347
53,munin,PE,0.000341
54,munin,MN,0.391965
54,munin,MW,0.000317
54,munin,MF,0.000426
54,munin,WMF,0.000327
54,munin,PE,0.000343
55,munin,MN,0.392199
55,munin,MW,0.00032
55,munin,MF,0.000324
55,munin,WMF,0.000344
55,munin,PE,0.000314
56,munin,MN,0.303422
56,munin,MW,0.000424
56,munin,MF,0.000331
56,munin,WMF,0.000305
56,munin,PE,0.000333
57,munin,MN,0.439952
57,munin,MW,0.00032
57,munin,MF,0.000334
57,munin,WMF,0.000383
57,munin,PE,0.000431
58,munin,MN,0.308056
58,munin,MW,0.000447
58,munin,MF,0.000366
58,munin,WMF,0.000398
58,munin,PE,0.000354
59,munin,MN,0.29114
59,munin,MW,0.000346
59,munin,MF,0.000331
59,munin,WMF,0.000313
59,munin,PE,0.000427
60,munin,MN,0.322262
60,munin,MW,0.000322
60,munin,MF,0.000315
60,munin,WMF,0.000328
60,munin,PE,0.000363
61,munin,MN,0.332882
61,munin,MW,0.000354
61,munin,MF,0.000316
61,munin,WMF,0.000398
61,munin,PE,0.000376
62,munin,MN,0.310621
62,munin,MW,0.000363
62,munin,MF,0.000387
62,munin,WMF,0.000392
62,munin,PE,0.000432
63,munin,MN,0.401308
63,munin,MW,0.0004
63,munin,MF,0.000319
63,munin,WMF,0.000391
63,munin,PE,0.000327
64,munin,MN,0.341925
64,munin,MW,0.000317
64,munin,MF,0.00039
64,munin,WMF,0.000328
64,munin,PE,0.000416
65,munin,MN,0.357667
65,munin,MW,0.000313
65,munin,MF,0.000348
65,munin,WMF,0.000309
65,munin,PE,0.000334
66,munin,MN,0.363184
66,munin,MW,0.000334
66,munin,MF,0.000338
66,munin,WMF,0.000433
66,munin,PE,0.000336
67,munin,MN,0.337584
67,munin,MW,0.000337
67,munin,MF,0.000363
67,munin,WMF,0.000336
67,munin,PE,0.000353
68,munin,MN,0.341116
68,munin,MW,0.000316
68,munin,MF,0.000314
68,munin,WMF,0.000352
68,munin,PE,0.00034
69,munin,MN,0.397059
69,munin,MW,0.000312
69,munin,MF,0.00034
69,munin,WMF,0.0004
69,munin,PE,0.000423
70,munin,MN,0.531923
70,munin,MW,0.000365
70,munin,MF,0.000391
70,munin,WMF,0.000381
70,munin,PE,0.000405
71,munin,MN,0.384912
71,munin,MW,0.000327
71,munin,MF,0.000343
71,munin,WMF,0.000383
71,munin,PE,0.000321
72,munin,MN,0.259564
72,munin,MW,0.000327
72,munin,MF,0.000345
72,munin,WMF,0.000307
72,munin,PE,0.000406
73,munin,MN,0.407514
73,munin,MW,0.000329
73,munin,MF,0.00033
73,munin,WMF,0.000325
73,munin,PE,0.000377
74,munin,MN,0.317237
74,munin,MW,0.000368
74,munin,MF,0.000352
74,munin,WMF,0.000343
74,munin,PE,0.000326
75,munin,MN,0.400333
75,munin,MW,0.000332
75,munin,MF,0.000343
75,munin,WMF,0.000353
75,munin,PE,0.000355
76,munin,MN,0.382341
76,munin,MW,0.000321
76,munin,MF,0.00031
76,munin,WMF,0.000309
76,munin,PE,0.000402
77,munin,MN,0.452751
77,munin,MW,0.000336
77,munin,MF,0.000349
77,munin,WMF,0.000335
77,munin,PE,0.000345
78,munin,MN,0.282223
78,munin,MW,0.00031
78,munin,MF,0.000297
78,munin,WMF,0.000314
78,munin,PE,0.000339
79,munin,MN,0.373238
79,munin,MW,0.000325
79,munin,MF,0.000331
79,munin,WMF,0.000326
79,munin,PE,0.000324
80,munin,MN,0.510116
80,munin,MW,0.000344
80,munin,MF,0.00039
80,munin,WMF,0.000326
80,munin,PE,0.000414
81,munin,MN,0.449164
81,munin,MW,0.000336
81,munin,MF,0.000319
81,munin,WMF,0.000322
81,munin,PE,0.000355
82,munin,MN,0.318922
82,munin,MW,0.000348
82,munin,MF,0.000348
82,munin,WMF,0.000303
82,munin,PE,0.000338
83,munin,MN,0.401294
83,munin,MW,0.000308
83,munin,MF,0.000325
83,munin,WMF,0.000349
83,munin,PE,0.000336
84,munin,MN,0.335636
84,munin,MW,0.00035
84,munin,MF,0.000332
84,munin,WMF,0.000327
84,munin,PE,0.000339
85,munin,MN,0.310196
85,munin,MW,0.000316
85,munin,MF,0.000315
85,munin,WMF,0.000415
85,munin,PE,0.000344
86,munin,MN,0.385523
86,munin,MW,0.00032
86,munin,MF,0.000305
86,munin,WMF,0.000298
86,munin,PE,0.00041
87,munin,MN,0.238991
87,munin,MW,0.000314
87,munin,MF,0.000316
87,munin,WMF,0.000305
87,munin,PE,0.000341
88,munin,MN,0.423844
88,munin,MW,0.000344
88,munin,MF,0.000329
88,munin,WMF,0.00032
88,munin,PE,0.000324
89,munin,MN,0.286456
89,munin,MW,0.000314
89,munin,MF,0.000311
89,munin,WMF,0.000301
89,munin,PE,0.00032
90,munin,MN,0.370074
90,munin,MW,0.000315
90,munin,MF,0.000316
90,munin,WMF,0.000314
90,munin,PE,0.00034
91,munin,MN,0.34792
91,munin,MW,0.000465
91,munin,MF,0.000459
91,munin,WMF,0.000353
91,munin,PE,0.000442
92,munin,MN,0.441635
92,munin,MW,0.00034
92,munin,MF,0.000334
92,munin,WMF,0.00033
92,munin,PE,0.000405
93,munin,MN,0.403396
93,munin,MW,0.000357
93,munin,MF,0.000341
93,munin,WMF,0.000313
93,munin,PE,0.000447
94,munin,MN,0.282523
94,munin,MW,0.000316
94,munin,MF,0.000322
94,munin,WMF,0.000399
94,munin,PE,0.000327
95,munin,MN,0.348383
95,munin,MW,0.000324
95,munin,MF,0.00034
95,munin,WMF,0.00031
95,munin,PE,0.000398
96,munin,MN,0.40178
96,munin,MW,0.000312
96,munin,MF,0.000332
96,munin,WMF,0.000306
96,munin,PE,0.000432
97,munin,MN,0.357256
97,munin,MW,0.000354
97,munin,MF,0.000325
97,munin,WMF,0.000394
97,munin,PE,0.000338
98,munin,MN,0.349429
